sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
12PM-D9645|BLACK|LARGE,,Default,simple,,base,"Feeling My Best Dress - BLACK - LARGE",,,,1,"Taxable Goods","Not Visible Individually",26.0000,,,,feeling-my-best-dress-black-large-12pm-d9645-black-large,,,,/12pm-d9645-black-front.jpg,,/12pm-d9645-black-front.jpg,,/12pm-d9645-black-front.jpg,,,,"3/26/17, 8:34 PM","4/5/17, 9:15 AM",,,"Block after Info Column",,,,,,,,,,,,,"color=Black,color_filter=Black,dfw_parent_ids=7782,display_name=Feeling My Best Dress - BLACK - LARGE,last_import_date=4/4/17, 7:00 PM,size=Large,website_sku=D9645",14.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,1,1,0.0000,1,0,0,0,0,1,,,,,,,"/12pm-d9645-black-front.jpg,/12pm-d9645-black-front.jpg,/12pm-d9645-black-front.jpg,/12pm-d9645-black-front.jpg,/12pm-d9645-black-back.jpg,/12pm-d9645-black-side.jpg","Feeling My Best Dress - BLACK - LARGE Front,Feeling My Best Dress - BLACK - MEDIUM Front,Feeling My Best Dress - BLACK - SMALL Front,Feeling My Best Dress - BLACK - X-LARGE Front,Feeling My Best Dress - BLACK - LARGE Back,Feeling My Best Dress - BLACK - LARGE Side",,,,,,,,,,
12PM-D9645|BLACK|MEDIUM,,Default,simple,,base,"Feeling My Best Dress - BLACK - MEDIUM",,,,1,"Taxable Goods","Not Visible Individually",26.0000,,,,feeling-my-best-dress-black-medium-12pm-d9645-black-medium,,,,/12pm-d9645-black-front.jpg,,/12pm-d9645-black-front.jpg,,/12pm-d9645-black-front.jpg,,,,"3/26/17, 8:34 PM","4/5/17, 9:15 AM",,,"Block after Info Column",,,,,,,,,,,,,"color=Black,color_filter=Black,dfw_parent_ids=7782,display_name=Feeling My Best Dress - BLACK - MEDIUM,last_import_date=4/4/17, 7:00 PM,size=Medium,website_sku=D9645",16.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,1,1,0.0000,1,0,0,0,0,1,,,,,,,"/12pm-d9645-black-front.jpg,/12pm-d9645-black-front.jpg,/12pm-d9645-black-front.jpg,/12pm-d9645-black-front.jpg,/12pm-d9645-black-back.jpg,/12pm-d9645-black-side.jpg","Feeling My Best Dress - BLACK - LARGE Front,Feeling My Best Dress - BLACK - MEDIUM Front,Feeling My Best Dress - BLACK - SMALL Front,Feeling My Best Dress - BLACK - X-LARGE Front,Feeling My Best Dress - BLACK - MEDIUM Back,Feeling My Best Dress - BLACK - MEDIUM Side",,,,,,,,,,
12PM-D9645|BLACK|SMALL,,Default,simple,,base,"Feeling My Best Dress - BLACK - SMALL",,,,1,"Taxable Goods","Not Visible Individually",26.0000,,,,feeling-my-best-dress-black-small-12pm-d9645-black-small,,,,/12pm-d9645-black-front.jpg,,/12pm-d9645-black-front.jpg,,/12pm-d9645-black-front.jpg,,,,"3/26/17, 8:34 PM","4/5/17, 9:15 AM",,,"Block after Info Column",,,,,,,,,,,,,"color=Black,color_filter=Black,dfw_parent_ids=7782,display_name=Feeling My Best Dress - BLACK - SMALL,last_import_date=4/4/17, 7:00 PM,size=Small,website_sku=D9645",18.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,1,1,0.0000,1,0,0,0,0,1,,,,,,,"/12pm-d9645-black-front.jpg,/12pm-d9645-black-front.jpg,/12pm-d9645-black-front.jpg,/12pm-d9645-black-front.jpg,/12pm-d9645-black-back.jpg,/12pm-d9645-black-side.jpg","Feeling My Best Dress - BLACK - LARGE Front,Feeling My Best Dress - BLACK - MEDIUM Front,Feeling My Best Dress - BLACK - SMALL Front,Feeling My Best Dress - BLACK - X-LARGE Front,Feeling My Best Dress - BLACK - SMALL Back,Feeling My Best Dress - BLACK - SMALL Side",,,,,,,,,,
12PM-D9645|BLACK|X-LARGE,,Default,simple,,base,"Feeling My Best Dress - BLACK - X-LARGE",,,,1,"Taxable Goods","Not Visible Individually",26.0000,,,,feeling-my-best-dress-black-x-large-12pm-d9645-black-x-large,,,,/12pm-d9645-black-front.jpg,,/12pm-d9645-black-front.jpg,,/12pm-d9645-black-front.jpg,,,,"3/26/17, 8:34 PM","4/5/17, 9:15 AM",,,"Block after Info Column",,,,,,,,,,,,,"color=Black,color_filter=Black,dfw_parent_ids=7782,display_name=Feeling My Best Dress - BLACK - X-LARGE,last_import_date=4/4/17, 7:00 PM,size=X-Large,website_sku=D9645",10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,1,1,0.0000,1,0,0,0,0,1,,,,,,,"/12pm-d9645-black-front.jpg,/12pm-d9645-black-front.jpg,/12pm-d9645-black-front.jpg,/12pm-d9645-black-front.jpg,/12pm-d9645-black-back.jpg,/12pm-d9645-black-side.jpg","Feeling My Best Dress - BLACK - LARGE Front,Feeling My Best Dress - BLACK - MEDIUM Front,Feeling My Best Dress - BLACK - SMALL Front,Feeling My Best Dress - BLACK - X-LARGE Front,Feeling My Best Dress - BLACK - X-LARGE Back,Feeling My Best Dress - BLACK - X-LARGE Side",,,,,,,,,,
12PM-D9645|MAUVE|LARGE,,Default,simple,,base,"Feeling My Best Dress - MAUVE - LARGE",,,,1,"Taxable Goods","Not Visible Individually",26.0000,,,,feeling-my-best-dress-mauve-large-12pm-d9645-mauve-large,,,,/12pm-d9645-mauve-front.jpg,,/12pm-d9645-mauve-front.jpg,,/12pm-d9645-mauve-front.jpg,,,,"3/26/17, 8:34 PM","4/5/17, 9:15 AM",,,"Block after Info Column",,,,,,,,,,,,,"color=Mauve,color_filter=Pink,dfw_parent_ids=7782,display_name=Feeling My Best Dress - MAUVE - LARGE,last_import_date=4/4/17, 7:00 PM,size=Large,website_sku=D9645",9.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,1,1,0.0000,1,0,0,0,0,1,,,,,,,"/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-back.jpg,/12pm-d9645-mauve-side.jpg","Feeling My Best Dress - MAUVE - LARGE Front,Feeling My Best Dress - MAUVE - MEDIUM Front,Feeling My Best Dress - MAUVE - SMALL Front,Feeling My Best Dress - MAUVE - X-LARGE Front,Feeling My Best Dress - MAUVE - LARGE Back,Feeling My Best Dress - MAUVE - LARGE Side",,,,,,,,,,
12PM-D9645|MAUVE|MEDIUM,,Default,simple,,base,"Feeling My Best Dress - MAUVE - MEDIUM",,,,1,"Taxable Goods","Not Visible Individually",26.0000,,,,feeling-my-best-dress-mauve-medium-12pm-d9645-mauve-medium,,,,/12pm-d9645-mauve-front.jpg,,/12pm-d9645-mauve-front.jpg,,/12pm-d9645-mauve-front.jpg,,,,"3/26/17, 8:34 PM","4/5/17, 9:15 AM",,,"Block after Info Column",,,,,,,,,,,,,"color=Mauve,color_filter=Pink,dfw_parent_ids=7782,display_name=Feeling My Best Dress - MAUVE - MEDIUM,last_import_date=4/4/17, 7:00 PM,size=Medium,website_sku=D9645",11.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,1,1,0.0000,1,0,0,0,0,1,,,,,,,"/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-back.jpg,/12pm-d9645-mauve-side.jpg","Feeling My Best Dress - MAUVE - LARGE Front,Feeling My Best Dress - MAUVE - MEDIUM Front,Feeling My Best Dress - MAUVE - SMALL Front,Feeling My Best Dress - MAUVE - X-LARGE Front,Feeling My Best Dress - MAUVE - MEDIUM Back,Feeling My Best Dress - MAUVE - MEDIUM Side",,,,,,,,,,
12PM-D9645|MAUVE|SMALL,,Default,simple,,base,"Feeling My Best Dress - MAUVE - SMALL",,,,1,"Taxable Goods","Not Visible Individually",26.0000,,,,feeling-my-best-dress-mauve-small-12pm-d9645-mauve-small,,,,/12pm-d9645-mauve-front.jpg,,/12pm-d9645-mauve-front.jpg,,/12pm-d9645-mauve-front.jpg,,,,"3/26/17, 8:34 PM","4/5/17, 9:15 AM",,,"Block after Info Column",,,,,,,,,,,,,"color=Mauve,color_filter=Pink,dfw_parent_ids=7782,display_name=Feeling My Best Dress - MAUVE - SMALL,last_import_date=4/4/17, 7:00 PM,size=Small,website_sku=D9645",12.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,1,1,0.0000,1,0,0,0,0,1,,,,,,,"/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-back.jpg,/12pm-d9645-mauve-side.jpg","Feeling My Best Dress - MAUVE - LARGE Front,Feeling My Best Dress - MAUVE - MEDIUM Front,Feeling My Best Dress - MAUVE - SMALL Front,Feeling My Best Dress - MAUVE - X-LARGE Front,Feeling My Best Dress - MAUVE - SMALL Back,Feeling My Best Dress - MAUVE - SMALL Side",,,,,,,,,,
12PM-D9645|MAUVE|X-LARGE,,Default,simple,,base,"Feeling My Best Dress - MAUVE - X-LARGE",,,,1,"Taxable Goods","Not Visible Individually",26.0000,,,,feeling-my-best-dress-mauve-x-large-12pm-d9645-mauve-x-large,,,,/12pm-d9645-mauve-front.jpg,,/12pm-d9645-mauve-front.jpg,,/12pm-d9645-mauve-front.jpg,,,,"3/26/17, 8:34 PM","4/5/17, 9:15 AM",,,"Block after Info Column",,,,,,,,,,,,,"color=Mauve,color_filter=Pink,dfw_parent_ids=7782,display_name=Feeling My Best Dress - MAUVE - X-LARGE,last_import_date=4/4/17, 7:00 PM,size=X-Large,website_sku=D9645",16.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,1,1,0.0000,1,0,0,0,0,1,,,,,,,"/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-front.jpg,/12pm-d9645-mauve-back.jpg,/12pm-d9645-mauve-side.jpg","Feeling My Best Dress - MAUVE - LARGE Front,Feeling My Best Dress - MAUVE - MEDIUM Front,Feeling My Best Dress - MAUVE - SMALL Front,Feeling My Best Dress - MAUVE - X-LARGE Front,Feeling My Best Dress - MAUVE - X-LARGE Back,Feeling My Best Dress - MAUVE - X-LARGE Side",,,,,,,,,,
"12PM-D9676|HEATHER GREY|LARGE",,Default,simple,,base,"Your Own Way Dress - HEATHER GREY - LARGE",,,,1,"Taxable Goods","Not Visible Individually",29.0000,,,,your-own-way-dress-heather-grey-large-12pm-d9676-heather-grey-large,,,,/12pm-d9676-heather-grey-front.jpg,,/12pm-d9676-heather-grey-front.jpg,,/12pm-d9676-heather-grey-front.jpg,,,,"3/26/17, 8:34 PM","4/5/17, 9:15 AM",,,"Block after Info Column",,,,,,,,,,,,,"color=Heather Gray,color_filter=Gray,dfw_parent_ids=7791,display_name=Your Own Way Dress - HEATHER GREY - LARGE,last_import_date=4/4/17, 7:00 PM,size=Large,website_sku=D9676",12.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,1,1,0.0000,1,0,0,0,0,1,,,,,,,"/12pm-d9676-heather-grey-front.jpg,/12pm-d9676-heather-grey-front.jpg,/12pm-d9676-heather-grey-front.jpg,/12pm-d9676-heather-grey-front.jpg,/12pm-d9676-heather-grey-back.jpg,/12pm-d9676-heather-grey-side.jpg","Your Own Way Dress - HEATHER GREY - LARGE Front,Your Own Way Dress - HEATHER GREY - MEDIUM Front,Your Own Way Dress - HEATHER GREY - SMALL Front,Your Own Way Dress - HEATHER GREY - X-LARGE Front,Your Own Way Dress - HEATHER GREY - LARGE Back,Your Own Way Dress - HEATHER GREY - LARGE Side",,,,,,,,,,
"12PM-D9676|HEATHER GREY|MEDIUM",,Default,simple,,base,"Your Own Way Dress - HEATHER GREY - MEDIUM",,,,1,"Taxable Goods","Not Visible Individually",29.0000,,,,your-own-way-dress-heather-grey-medium-12pm-d9676-heather-grey-medium,,,,/12pm-d9676-heather-grey-front.jpg,,/12pm-d9676-heather-grey-front.jpg,,/12pm-d9676-heather-grey-front.jpg,,,,"3/26/17, 8:34 PM","4/5/17, 9:15 AM",,,"Block after Info Column",,,,,,,,,,,,,"color=Heather Gray,color_filter=Gray,dfw_parent_ids=7791,display_name=Your Own Way Dress - HEATHER GREY - MEDIUM,last_import_date=4/4/17, 7:00 PM,size=Medium,website_sku=D9676",6.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,1,1,0.0000,1,0,0,0,0,1,,,,,,,"/12pm-d9676-heather-grey-front.jpg,/12pm-d9676-heather-grey-front.jpg,/12pm-d9676-heather-grey-front.jpg,/12pm-d9676-heather-grey-front.jpg,/12pm-d9676-heather-grey-back.jpg,/12pm-d9676-heather-grey-side.jpg","Your Own Way Dress - HEATHER GREY - LARGE Front,Your Own Way Dress - HEATHER GREY - MEDIUM Front,Your Own Way Dress - HEATHER GREY - SMALL Front,Your Own Way Dress - HEATHER GREY - X-LARGE Front,Your Own Way Dress - HEATHER GREY - MEDIUM Back,Your Own Way Dress - HEATHER GREY - MEDIUM Side",,,,,,,,,,
